job_id,title,company,city,level,salary_min,salary_max,skills,description
job_0000,Data Scientist (junior),Company_28,Nantes,junior,40000,45000,"ci/cd, gcp, linux, ml, nlp, pandas, python","We are hiring a junior Data Scientist. Skills: ci/cd, gcp, linux, ml, nlp, pandas, python. Location: Nantes. Salary: 40000-45000."
job_0001,Data Engineer (senior),Company_21,Paris,senior,55000,60000,"airflow, aws, dbt, python, spark, sql","We are hiring a senior Data Engineer. Skills: airflow, aws, dbt, python, spark, sql. Location: Paris. Salary: 55000-60000."
job_0002,Software Engineer (mid),Company_6,Nantes,mid,40000,45000,"docker, faiss, fastapi, git, java, python, tests","We are hiring a mid Software Engineer. Skills: docker, faiss, fastapi, git, java, python, tests. Location: Nantes. Salary: 40000-45000."
job_0003,Software Engineer (senior),Company_30,Lyon,senior,50000,55000,"docker, git, java, python, react, tests","We are hiring a senior Software Engineer. Skills: docker, git, java, python, react, tests. Location: Lyon. Salary: 50000-55000."
job_0004,ML Engineer (junior),Company_35,Lille,junior,35000,45000,"api, docker, kubernetes, linux, mlops, pytorch","We are hiring a junior ML Engineer. Skills: api, docker, kubernetes, linux, mlops, pytorch. Location: Lille. Salary: 35000-45000."
job_0005,Data Scientist (senior),Company_42,Marseille,senior,55000,70000,"linux, nlp, pandas, sklearn, sql","We are hiring a senior Data Scientist. Skills: linux, nlp, pandas, sklearn, sql. Location: Marseille. Salary: 55000-70000."
job_0006,Data Scientist (junior),Company_34,Paris,junior,45000,55000,"azure, linux, ml, nlp, pandas, python, sql, streamlit","We are hiring a junior Data Scientist. Skills: azure, linux, ml, nlp, pandas, python, sql, streamlit. Location: Paris. Salary: 45000-55000."
job_0007,Data Engineer (junior),Company_20,Nantes,junior,60000,75000,"airflow, aws, ci/cd, dbt, gcp, linux, python, spark","We are hiring a junior Data Engineer. Skills: airflow, aws, ci/cd, dbt, gcp, linux, python, spark. Location: Nantes. Salary: 60000-75000."
job_0008,Data Engineer (senior),Company_15,Toulouse,senior,55000,60000,"airflow, aws, dbt, spark, sql","We are hiring a senior Data Engineer. Skills: airflow, aws, dbt, spark, sql. Location: Toulouse. Salary: 55000-60000."
job_0009,NLP Engineer (mid),Company_14,Bordeaux,mid,35000,45000,"bert, faiss, python, rag, transformers","We are hiring a mid NLP Engineer. Skills: bert, faiss, python, rag, transformers. Location: Bordeaux. Salary: 35000-45000."
job_0010,ML Engineer (senior),Company_15,Lille,senior,40000,50000,"api, docker, gcp, mlops, python, streamlit","We are hiring a senior ML Engineer. Skills: api, docker, gcp, mlops, python, streamlit. Location: Lille. Salary: 40000-50000."
job_0011,ML Engineer (mid),Company_68,Lille,mid,35000,40000,"api, azure, docker, faiss, fastapi, kubernetes, mlops, python, pytorch","We are hiring a mid ML Engineer. Skills: api, azure, docker, faiss, fastapi, kubernetes, mlops, python, pytorch. Location: Lille. Salary: 35000-40000."
job_0012,NLP Engineer (mid),Company_9,Lille,mid,55000,70000,"azure, bert, faiss, gcp, linux, python, rag, retrieval, transformers","We are hiring a mid NLP Engineer. Skills: azure, bert, faiss, gcp, linux, python, rag, retrieval, transformers. Location: Lille. Salary: 55000-70000."
